"Pokémon","Objeto","Habilidad","Teratipo","Mov1","Mov2","Mov3","Mov4","Torneo","Nombre","cluster"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","Surging Strikes","Aqua Jet","Close Combat","U-turn","Pokemon Day Week x Nino FF #84","eboyvgc","Psyspam Offense"
"Regidrago","Dragon Fang","Dragon's Maw","Steel","Dragon Energy","Draco Meteor","Protect","Tera Blast","Pokemon Day Week x Nino FF #84","eboyvgc","Psyspam Offense"
"Indeedee-F","Psychic Seed","Psychic Surge","Fairy","Trick Room","Helping Hand","Follow Me","Imprison","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","quivern","Psyspam Offense"
"Iron Crown","Booster Energy","Quark Drive","Ground","Tachyon Cutter","Expanding Force","Tera Blast","Protect","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","quivern","Psyspam Offense"
"Ogerpon","Choice Band","Defiant","Grass","Ivy Cudgel","Play Rough","Stomping Tantrum","U-turn","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","quivern","Psyspam Offense"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","Surging Strikes","Close Combat","U-turn","Rock Slide","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","quivern","Psyspam Offense"
"Tornadus","Covert Cloak","Prankster","Dark","Bleakwind Storm","Tailwind","Protect","Rain Dance","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","quivern","Psyspam Offense"
"Landorus","Life Orb","Sheer Force","Poison","Sandsear Storm","Earth Power","Sludge Bomb","Protect","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","quivern","Psyspam Offense"
"Amoonguss","Rocky Helmet","Regenerator","Steel","Spore","Rage Powder","Pollen Puff","Protect","regional-dortmund","Alberto Fornaini","Rain Offense"
"Archaludon","Assault Vest","Stamina","Fairy","Body Press","Electro Shot","Heavy Slam","Dragon Pulse","regional-dortmund","Alberto Fornaini","Rain Offense"
"Pelipper","Focus Sash","Drizzle","Stellar","Tailwind","Hurricane","Wide Guard","Weather Ball","regional-dortmund","Alberto Fornaini","Rain Offense"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Grass","Surging Strikes","Aqua Jet","Close Combat","U-turn","regional-dortmund","Alberto Fornaini","Rain Offense"
"Flutter Mane","Booster Energy","Protosynthesis","Fairy","Moonblast","Dazzling Gleam","Icy Wind","Protect","regional-dortmund","Alberto Fornaini","Rain Offense"
"Landorus","Life Orb","Sheer Force","Steel","Protect","Earth Power","Sludge Bomb","Sandsear Storm","regional-dortmund","Alberto Fornaini","Rain Offense"
"Archaludon","Assault Vest","Stamina","Fairy","Flash Cannon","Draco Meteor","Electro Shot","Body Press","special-utrecht","Alex DellaPasqua","Rain Offense"
"Ursaluna","Flame Orb","Guts","Ghost","Protect","Facade","Headlong Rush","Shadow Claw","special-utrecht","Alex DellaPasqua","Rain Offense"
"Incineroar","Safety Goggles","Intimidate","Water","Flare Blitz","Parting Shot","Fake Out","Taunt","special-utrecht","Alex DellaPasqua","Rain Offense"
"Amoonguss","Sitrus Berry","Regenerator","Water","Pollen Puff","Rage Powder","Bullet Seed","Spore","special-utrecht","Alex DellaPasqua","Rain Offense"
"Pelipper","Rocky Helmet","Drizzle","Steel","Weather Ball","Tailwind","Protect","Hurricane","special-utrecht","Alex DellaPasqua","Rain Offense"
"Dusclops","Eviolite","Pressure","Grass","Night Shade","Pain Split","Haze","Trick Room","special-utrecht","Alex DellaPasqua","Rain Offense"
"Archaludon","Assault Vest","Stamina","Fairy","Dragon Pulse","Heavy Slam","Electro Shot","Body Press","regional-melbourne","Chengfu Ren","Rain Offense"
"Pelipper","Focus Sash","Drizzle","Flying","Weather Ball","Hurricane","Wide Guard","Protect","regional-melbourne","Chengfu Ren","Rain Offense"
"Flutter Mane","Booster Energy","Protosynthesis","Grass","Protect","Shadow Ball","Calm Mind","Moonblast","regional-melbourne","Chengfu Ren","Rain Offense"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Grass","Surging Strikes","U-turn","Aqua Jet","Close Combat","regional-melbourne","Chengfu Ren","Rain Offense"
"Amoonguss","Sitrus Berry","Regenerator","Water","Rage Powder","Spore","Pollen Puff","Protect","regional-melbourne","Chengfu Ren","Rain Offense"
"Incineroar","Safety Goggles","Intimidate","Water","Fake Out","Flare Blitz","Knock Off","Parting Shot","regional-melbourne","Chengfu Ren","Rain Offense"
"Pelipper","Focus Sash","Drizzle","Flying","Hurricane","Weather Ball","Tailwind","Wide Guard","regional-portland","Eli Knowlton","Rain Offense"
"Baxcalibur","Clear Amulet","Thermal Exchange","Poison","Glaive Rush","Icicle Crash","Ice Shard","Protect","regional-portland","Eli Knowlton","Rain Offense"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Poison","Surging Strikes","Close Combat","Aqua Jet","U-turn","regional-portland","Eli Knowlton","Rain Offense"
"Flutter Mane","Booster Energy","Protosynthesis","Fairy","Moonblast","Shadow Ball","Icy Wind","Protect","regional-portland","Eli Knowlton","Rain Offense"
"Archaludon","Assault Vest","Stamina","Grass","Heavy Slam","Electro Shot","Dragon Pulse","Body Press","regional-portland","Eli Knowlton","Rain Offense"
"Amoonguss","Sitrus Berry","Regenerator","Dark","Pollen Puff","Spore","Rage Powder","Protect","regional-portland","Eli Knowlton","Rain Offense"
"Archaludon","Assault Vest","Stamina","Fairy","Heavy Slam","Draco Meteor","Electro Shot","Body Press","regional-melbourne","Jesse Beard","Rain Offense"
"Amoonguss","Sitrus Berry","Regenerator","Steel","Clear Smog","Pollen Puff","Spore","Rage Powder","regional-melbourne","Jesse Beard","Rain Offense"
"Incineroar","Safety Goggles","Intimidate","Ghost","Fake Out","Flare Blitz","Knock Off","Parting Shot","regional-melbourne","Jesse Beard","Rain Offense"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","Surging Strikes","Close Combat","Ice Spinner","U-turn","regional-melbourne","Jesse Beard","Rain Offense"
"Farigiraf","Throat Spray","Armor Tail","Fairy","Protect","Psychic","Hyper Voice","Trick Room","regional-melbourne","Jesse Beard","Rain Offense"
"Pelipper","Focus Sash","Drizzle","Grass","Hurricane","Weather Ball","Tailwind","Protect","regional-melbourne","Jesse Beard","Rain Offense"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Grass","Surging Strikes","Close Combat","Ice Spinner","U-turn","regional-liverpool","Julian Piñeiro Fernandez","Rain Offense"
"Pelipper","Focus Sash","Drizzle","Stellar","Weather Ball","Hurricane","Tailwind","Protect","regional-liverpool","Julian Piñeiro Fernandez","Rain Offense"
"Flutter Mane","Booster Energy","Protosynthesis","Fairy","Moonblast","Shadow Ball","Dazzling Gleam","Protect","regional-liverpool","Julian Piñeiro Fernandez","Rain Offense"
"Incineroar","Safety Goggles","Intimidate","Ghost","Flare Blitz","Knock Off","Fake Out","Parting Shot","regional-liverpool","Julian Piñeiro Fernandez","Rain Offense"
"Amoonguss","Rocky Helmet","Regenerator","Water","Rage Powder","Spore","Protect","Pollen Puff","regional-liverpool","Julian Piñeiro Fernandez","Rain Offense"
"Archaludon","Assault Vest","Stamina","Grass","Heavy Slam","Body Press","Electro Shot","Dragon Pulse","regional-liverpool","Julian Piñeiro Fernandez","Rain Offense"
"Flutter Mane","Choice Specs","Protosynthesis","Fairy","Dazzling Gleam","Moonblast","Shadow Ball","Icy Wind","regional-charlotte","Jérémy Côté","Rain Offense"
"Amoonguss","Sitrus Berry","Regenerator","Dark","Spore","Rage Powder","Pollen Puff","Protect","regional-charlotte","Jérémy Côté","Rain Offense"
"Pelipper","Focus Sash","Drizzle","Ghost","Wide Guard","Hurricane","Weather Ball","Tailwind","regional-charlotte","Jérémy Côté","Rain Offense"
"Archaludon","Assault Vest","Stamina","Fairy","Body Press","Heavy Slam","Electro Shot","Dragon Pulse","regional-charlotte","Jérémy Côté","Rain Offense"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Poison","Surging Strikes","Close Combat","U-turn","Aqua Jet","regional-charlotte","Jérémy Côté","Rain Offense"
"Baxcalibur","Clear Amulet","Thermal Exchange","Poison","Glaive Rush","Icicle Crash","Ice Shard","Protect","regional-charlotte","Jérémy Côté","Rain Offense"
"Amoonguss","Sitrus Berry","Regenerator","Dark","Spore","Rage Powder","Pollen Puff","Protect","regional-charlotte","Kazuki Kanehira","Rain Offense"
"Flutter Mane","Booster Energy","Protosynthesis","Fairy","Moonblast","Shadow Ball","Icy Wind","Protect","regional-charlotte","Kazuki Kanehira","Rain Offense"
"Pelipper","Focus Sash","Drizzle","Stellar","Hurricane","Weather Ball","Wide Guard","Tailwind","regional-charlotte","Kazuki Kanehira","Rain Offense"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Grass","Surging Strikes","Close Combat","U-turn","Aqua Jet","regional-charlotte","Kazuki Kanehira","Rain Offense"
"Archaludon","Assault Vest","Stamina","Grass","Body Press","Heavy Slam","Electro Shot","Dragon Pulse","regional-charlotte","Kazuki Kanehira","Rain Offense"
"Baxcalibur","Clear Amulet","Thermal Exchange","Poison","Glaive Rush","Icicle Crash","Ice Shard","Protect","regional-charlotte","Kazuki Kanehira","Rain Offense"
"Pelipper","Focus Sash","Drizzle","Ghost","Weather Ball","Tailwind","Hurricane","Wide Guard","regional-charlotte","Owen Murphy","Rain Offense"
"Landorus","Life Orb","Sheer Force","Poison","Earth Power","Sandsear Storm","Sludge Bomb","Protect","regional-charlotte","Owen Murphy","Rain Offense"
"Incineroar","Sitrus Berry","Intimidate","Grass","Knock Off","Flare Blitz","Fake Out","Parting Shot","regional-charlotte","Owen Murphy","Rain Offense"
"Archaludon","Assault Vest","Stamina","Bug","Body Press","Electro Shot","Flash Cannon","Draco Meteor","regional-charlotte","Owen Murphy","Rain Offense"
"Amoonguss","Rocky Helmet","Regenerator","Water","Clear Smog","Spore","Pollen Puff","Rage Powder","regional-charlotte","Owen Murphy","Rain Offense"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Grass","Surging Strikes","Close Combat","U-turn","Aqua Jet","regional-charlotte","Owen Murphy","Rain Offense"
"Chien-Pao","Life Orb","Sword of Ruin","Stellar","Icicle Crash","Sucker Punch","Ice Shard","Protect","regional-charlotte","Takuya Hiraiwa","Rain Offense"
"Amoonguss","Sitrus Berry","Regenerator","Steel","Pollen Puff","Rage Powder","Spore","Protect","regional-charlotte","Takuya Hiraiwa","Rain Offense"
"Archaludon","Assault Vest","Stamina","Fairy","Heavy Slam","Dragon Pulse","Electro Shot","Body Press","regional-charlotte","Takuya Hiraiwa","Rain Offense"
"Pelipper","Focus Sash","Drizzle","Flying","Weather Ball","Hurricane","Tailwind","Wide Guard","regional-charlotte","Takuya Hiraiwa","Rain Offense"
"Flutter Mane","Choice Specs","Protosynthesis","Fairy","Moonblast","Dazzling Gleam","Shadow Ball","Taunt","regional-charlotte","Takuya Hiraiwa","Rain Offense"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Grass","Surging Strikes","Aqua Jet","Close Combat","U-turn","regional-charlotte","Takuya Hiraiwa","Rain Offense"
"Pelipper","Focus Sash","Drizzle","Dark","Protect","Wide Guard","Hurricane","Tailwind","regional-liverpool","Taran Birdee","Rain Offense"
"Incineroar","Safety Goggles","Intimidate","Ghost","Fake Out","Taunt","Parting Shot","Knock Off","regional-liverpool","Taran Birdee","Rain Offense"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Steel","Close Combat","Surging Strikes","Aqua Jet","U-turn","regional-liverpool","Taran Birdee","Rain Offense"
"Archaludon","Assault Vest","Stamina","Fairy","Dragon Pulse","Snarl","Electro Shot","Heavy Slam","regional-liverpool","Taran Birdee","Rain Offense"
"Amoonguss","Sitrus Berry","Regenerator","Fairy","Spore","Rage Powder","Pollen Puff","Clear Smog","regional-liverpool","Taran Birdee","Rain Offense"
"Flutter Mane","Choice Specs","Protosynthesis","Fairy","Dazzling Gleam","Shadow Ball","Moonblast","Icy Wind","regional-liverpool","Taran Birdee","Rain Offense"
"Pelipper","Focus Sash","Drizzle","Stellar","Hurricane","Weather Ball","Tailwind","Wide Guard","regional-charlotte","Thaison Hughes","Rain Offense"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Grass","Surging Strikes","Close Combat","U-turn","Aqua Jet","regional-charlotte","Thaison Hughes","Rain Offense"
"Archaludon","Assault Vest","Stamina","Grass","Body Press","Heavy Slam","Electro Shot","Dragon Pulse","regional-charlotte","Thaison Hughes","Rain Offense"
"Incineroar","Safety Goggles","Intimidate","Ghost","Fake Out","Parting Shot","Flare Blitz","Knock Off","regional-charlotte","Thaison Hughes","Rain Offense"
"Flutter Mane","Booster Energy","Protosynthesis","Fairy","Moonblast","Dazzling Gleam","Shadow Ball","Protect","regional-charlotte","Thaison Hughes","Rain Offense"
"Amoonguss","Sitrus Berry","Regenerator","Steel","Spore","Pollen Puff","Rage Powder","Protect","regional-charlotte","Thaison Hughes","Rain Offense"
"Chien-Pao","Focus Sash","Sword of Ruin","Ghost","Ice Spinner","Lash Out","Ice Shard","Protect","SpearPillar S/V Cart Tour #18","giottas","Rain Offense"
"Chien-Pao","Focus Sash","Sword of Ruin","Ghost","Ice Spinner","Lash Out","Ice Shard","Protect","Pokemon Day Week x Nino FF #85","giottas","Rain Offense"
"Amoonguss","Sitrus Berry","Regenerator","Fairy","Sludge Bomb","Pollen Puff","Spore","Rage Powder","SpearPillar S/V Cart Tour #18","giottas","Rain Offense"
"Pelipper","Rocky Helmet","Drizzle","Steel","Hurricane","Weather Ball","Tailwind","Protect","Pokemon Day Week x Nino FF #85","giottas","Rain Offense"
"Pelipper","Rocky Helmet","Drizzle","Steel","Hurricane","Weather Ball","Tailwind","Protect","SpearPillar S/V Cart Tour #18","giottas","Rain Offense"
"Raging Bolt","Booster Energy","Protosynthesis","Electric","Dragon Pulse","Thunderclap","Thunderbolt","Protect","Pokemon Day Week x Nino FF #85","giottas","Rain Offense"
"Archaludon","Assault Vest","Stamina","Grass","Heavy Slam","Draco Meteor","Electro Shot","Body Press","SpearPillar S/V Cart Tour #18","giottas","Rain Offense"
"Archaludon","Assault Vest","Stamina","Grass","Heavy Slam","Draco Meteor","Electro Shot","Body Press","Pokemon Day Week x Nino FF #85","giottas","Rain Offense"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Grass","Surging Strikes","Close Combat","Aqua Jet","U-turn","SpearPillar S/V Cart Tour #18","giottas","Rain Offense"
"Amoonguss","Sitrus Berry","Regenerator","Fairy","Spore","Rage Powder","Pollen Puff","Sludge Bomb","Pokemon Day Week x Nino FF #85","giottas","Rain Offense"
"Raging Bolt","Life Orb","Protosynthesis","Electric","Thunderbolt","Thunderclap","Draco Meteor","Protect","SpearPillar S/V Cart Tour #18","giottas","Rain Offense"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Grass","Surging Strikes","Close Combat","Ice Spinner","U-turn","Pokemon Day Week x Nino FF #85","giottas","Rain Offense"
"Pelipper","Focus Sash","Drizzle","Flying","Wide Guard","Hurricane","Weather Ball","Tailwind","Pokemon Day Week x Saturday Night Rumble #41","orangesteve","Rain Offense"
"Archaludon","Assault Vest","Stamina","Grass","Body Press","Flash Cannon","Electro Shot","Dragon Pulse","Pokemon Day Week x Saturday Night Rumble #41","orangesteve","Rain Offense"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Grass","Surging Strikes","Close Combat","U-turn","Aqua Jet","Pokemon Day Week x Saturday Night Rumble #41","orangesteve","Rain Offense"
"Amoonguss","Sitrus Berry","Regenerator","Dark","Spore","Rage Powder","Pollen Puff","Protect","Pokemon Day Week x Saturday Night Rumble #41","orangesteve","Rain Offense"
"Baxcalibur","Clear Amulet","Thermal Exchange","Poison","Glaive Rush","Icicle Crash","Ice Shard","Protect","Pokemon Day Week x Saturday Night Rumble #41","orangesteve","Rain Offense"
"Flutter Mane","Booster Energy","Protosynthesis","Fairy","Moonblast","Shadow Ball","Icy Wind","Protect","Pokemon Day Week x Saturday Night Rumble #41","orangesteve","Rain Offense"
"Pelipper","Focus Sash","Drizzle","Stellar","Weather Ball","Hurricane","Tailwind","Protect","Pokémon Day Week x SpearPillar Saturday Showdown","yukizan","Rain Offense"
"Archaludon","Assault Vest","Stamina","Grass","Dragon Pulse","Flash Cannon","Electro Shot","Snarl","Pokémon Day Week x SpearPillar Saturday Showdown","yukizan","Rain Offense"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Grass","Surging Strikes","Close Combat","Ice Spinner","U-turn","Pokémon Day Week x SpearPillar Saturday Showdown","yukizan","Rain Offense"
"Amoonguss","Sitrus Berry","Regenerator","Steel","Sludge Bomb","Pollen Puff","Rage Powder","Spore","Pokémon Day Week x SpearPillar Saturday Showdown","yukizan","Rain Offense"
"Landorus","Life Orb","Sheer Force","Poison","Sandsear Storm","Sludge Bomb","Substitute","Protect","Pokémon Day Week x SpearPillar Saturday Showdown","yukizan","Rain Offense"
"Incineroar","Safety Goggles","Intimidate","Ghost","Flare Blitz","Knock Off","Parting Shot","Fake Out","Pokémon Day Week x SpearPillar Saturday Showdown","yukizan","Rain Offense"
"Incineroar","Iapapa Berry","Intimidate","Grass","Flare Blitz","Knock Off","Parting Shot","Fake Out","regional-charlotte","Darsh Patel","Roaring SetUp"
"Ogerpon-Wellspring","Wellspring Mask","Water Absorb","Water","Spiky Shield","Ivy Cudgel","Horn Leech","Follow Me","regional-charlotte","Darsh Patel","Roaring SetUp"
"Amoonguss","Sitrus Berry","Regenerator","Fairy","Protect","Spore","Pollen Puff","Rage Powder","regional-charlotte","Darsh Patel","Roaring SetUp"
"Flutter Mane","Choice Specs","Protosynthesis","Fairy","Shadow Ball","Moonblast","Dazzling Gleam","Icy Wind","regional-charlotte","Darsh Patel","Roaring SetUp"
"Raging Bolt","Assault Vest","Protosynthesis","Electric","Thunderbolt","Thunderclap","Draco Meteor","Snarl","regional-charlotte","Darsh Patel","Roaring SetUp"
"Roaring Moon","Booster Energy","Protosynthesis","Flying","Protect","Dragon Dance","Knock Off","Acrobatics","regional-charlotte","Darsh Patel","Roaring SetUp"
"Amoonguss","Sitrus Berry","Regenerator","Water","Spore","Rage Powder","Pollen Puff","Protect","regional-charlotte","David Baumgardt","Roaring SetUp"
"Archaludon","Assault Vest","Stamina","Grass","Heavy Slam","Draco Meteor","Body Press","Snarl","regional-charlotte","David Baumgardt","Roaring SetUp"
"Flutter Mane","Choice Specs","Protosynthesis","Fairy","Shadow Ball","Moonblast","Dazzling Gleam","Thunderbolt","regional-charlotte","David Baumgardt","Roaring SetUp"
"Roaring Moon","Booster Energy","Protosynthesis","Flying","Knock Off","Acrobatics","Dragon Dance","Protect","regional-charlotte","David Baumgardt","Roaring SetUp"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","Surging Strikes","Close Combat","Aqua Jet","U-turn","regional-charlotte","David Baumgardt","Roaring SetUp"
"Incineroar","Safety Goggles","Intimidate","Ghost","Fake Out","Flare Blitz","Knock Off","Parting Shot","regional-charlotte","David Baumgardt","Roaring SetUp"
"Flutter Mane","Choice Specs","Protosynthesis","Fairy","Moonblast","Dazzling Gleam","Shadow Ball","Icy Wind","regional-liverpool","Femi Jordanovic","Roaring SetUp"
"Ogerpon-Wellspring","Wellspring Mask","Water Absorb","Water","Ivy Cudgel","Horn Leech","Spiky Shield","Follow Me","regional-liverpool","Femi Jordanovic","Roaring SetUp"
"Roaring Moon","Booster Energy","Protosynthesis","Flying","Acrobatics","Knock Off","Dragon Dance","Protect","regional-liverpool","Femi Jordanovic","Roaring SetUp"
"Incineroar","Wiki Berry","Intimidate","Grass","Knock Off","Flare Blitz","Parting Shot","Fake Out","regional-liverpool","Femi Jordanovic","Roaring SetUp"
"Raging Bolt","Assault Vest","Protosynthesis","Electric","Thunderbolt","Thunderclap","Snarl","Draco Meteor","regional-liverpool","Femi Jordanovic","Roaring SetUp"
"Amoonguss","Sitrus Berry","Regenerator","Fairy","Spore","Pollen Puff","Protect","Rage Powder","regional-liverpool","Femi Jordanovic","Roaring SetUp"
"Ogerpon-Wellspring","Wellspring Mask","Water Absorb","Water","Ivy Cudgel","Horn Leech","Follow Me","Spiky Shield","regional-knoxville","Galo Orbea","Roaring SetUp"
"Flutter Mane","Choice Specs","Protosynthesis","Fairy","Moonblast","Shadow Ball","Dazzling Gleam","Perish Song","regional-knoxville","Galo Orbea","Roaring SetUp"
"Amoonguss","Sitrus Berry","Regenerator","Fairy","Rage Powder","Spore","Pollen Puff","Protect","regional-knoxville","Galo Orbea","Roaring SetUp"
"Incineroar","Safety Goggles","Intimidate","Ghost","Flare Blitz","Knock Off","Fake Out","Parting Shot","regional-knoxville","Galo Orbea","Roaring SetUp"
"Raging Bolt","Assault Vest","Protosynthesis","Electric","Thunderbolt","Draco Meteor","Thunderclap","Snarl","regional-knoxville","Galo Orbea","Roaring SetUp"
"Roaring Moon","Booster Energy","Protosynthesis","Flying","Knock Off","Acrobatics","Dragon Dance","Protect","regional-knoxville","Galo Orbea","Roaring SetUp"
"Flutter Mane","Choice Specs","Protosynthesis","Fairy","Moonblast","Dazzling Gleam","Shadow Ball","Perish Song","regional-liverpool","Giuseppe Musicco","Roaring SetUp"
"Amoonguss","Sitrus Berry","Regenerator","Fairy","Pollen Puff","Spore","Rage Powder","Protect","regional-liverpool","Giuseppe Musicco","Roaring SetUp"
"Raging Bolt","Assault Vest","Protosynthesis","Electric","Draco Meteor","Thunderbolt","Thunderclap","Snarl","regional-liverpool","Giuseppe Musicco","Roaring SetUp"
"Ogerpon-Wellspring","Wellspring Mask","Water Absorb","Water","Ivy Cudgel","Horn Leech","Follow Me","Spiky Shield","regional-liverpool","Giuseppe Musicco","Roaring SetUp"
"Roaring Moon","Booster Energy","Protosynthesis","Flying","Knock Off","Acrobatics","Dragon Dance","Protect","regional-liverpool","Giuseppe Musicco","Roaring SetUp"
"Incineroar","Safety Goggles","Intimidate","Ghost","Flare Blitz","Knock Off","Fake Out","Parting Shot","regional-liverpool","Giuseppe Musicco","Roaring SetUp"
"Amoonguss","Sitrus Berry","Regenerator","Fairy","Spore","Pollen Puff","Rage Powder","Protect","regional-melbourne","Kiran Singh","Roaring SetUp"
"Roaring Moon","Booster Energy","Protosynthesis","Flying","Knock Off","Acrobatics","Dragon Dance","Protect","regional-melbourne","Kiran Singh","Roaring SetUp"
"Flutter Mane","Choice Specs","Protosynthesis","Fairy","Moonblast","Dazzling Gleam","Shadow Ball","Perish Song","regional-melbourne","Kiran Singh","Roaring SetUp"
"Ogerpon-Wellspring","Wellspring Mask","Water Absorb","Water","Ivy Cudgel","Horn Leech","Follow Me","Spiky Shield","regional-melbourne","Kiran Singh","Roaring SetUp"
"Incineroar","Safety Goggles","Intimidate","Ghost","Flare Blitz","Parting Shot","Taunt","Fake Out","regional-melbourne","Kiran Singh","Roaring SetUp"
"Raging Bolt","Assault Vest","Protosynthesis","Fairy","Thunderbolt","Draco Meteor","Thunderclap","Snarl","regional-melbourne","Kiran Singh","Roaring SetUp"
"Amoonguss","Sitrus Berry","Regenerator","Fairy","Pollen Puff","Spore","Rage Powder","Protect","regional-liverpool","Marco Hemantha Kaludura Silva","Roaring SetUp"
"Roaring Moon","Booster Energy","Protosynthesis","Flying","Knock Off","Acrobatics","Dragon Dance","Protect","regional-liverpool","Marco Hemantha Kaludura Silva","Roaring SetUp"
"Raging Bolt","Assault Vest","Protosynthesis","Electric","Draco Meteor","Thunderbolt","Thunderclap","Snarl","regional-liverpool","Marco Hemantha Kaludura Silva","Roaring SetUp"
"Flutter Mane","Choice Specs","Protosynthesis","Fairy","Moonblast","Dazzling Gleam","Shadow Ball","Perish Song","regional-liverpool","Marco Hemantha Kaludura Silva","Roaring SetUp"
"Ogerpon-Wellspring","Wellspring Mask","Water Absorb","Water","Ivy Cudgel","Horn Leech","Follow Me","Spiky Shield","regional-liverpool","Marco Hemantha Kaludura Silva","Roaring SetUp"
"Incineroar","Safety Goggles","Intimidate","Ghost","Flare Blitz","Knock Off","Fake Out","Parting Shot","regional-liverpool","Marco Hemantha Kaludura Silva","Roaring SetUp"
"Incineroar","Figy Berry","Intimidate","Ghost","Flare Blitz","Fake Out","Taunt","Parting Shot","regional-dortmund","Mattie Morgan","Roaring SetUp"
"Amoonguss","Sitrus Berry","Regenerator","Fairy","Pollen Puff","Spore","Rage Powder","Protect","regional-dortmund","Mattie Morgan","Roaring SetUp"
"Roaring Moon","Booster Energy","Protosynthesis","Flying","Knock Off","Acrobatics","Dragon Dance","Protect","regional-dortmund","Mattie Morgan","Roaring SetUp"
"Ogerpon-Wellspring","Wellspring Mask","Water Absorb","Water","Ivy Cudgel","Horn Leech","Follow Me","Spiky Shield","regional-dortmund","Mattie Morgan","Roaring SetUp"
"Flutter Mane","Choice Specs","Protosynthesis","Fairy","Moonblast","Dazzling Gleam","Shadow Ball","Perish Song","regional-dortmund","Mattie Morgan","Roaring SetUp"
"Raging Bolt","Assault Vest","Protosynthesis","Electric","Draco Meteor","Thunderbolt","Thunderclap","Snarl","regional-dortmund","Mattie Morgan","Roaring SetUp"
"Raging Bolt","Assault Vest","Protosynthesis","Electric","Thunderbolt","Thunderclap","Draco Meteor","Snarl","regional-charlotte","Neil Patel","Roaring SetUp"
"Amoonguss","Sitrus Berry","Regenerator","Fairy","Protect","Rage Powder","Spore","Pollen Puff","regional-charlotte","Neil Patel","Roaring SetUp"
"Ogerpon-Wellspring","Wellspring Mask","Water Absorb","Water","Ivy Cudgel","Horn Leech","Spiky Shield","Follow Me","regional-charlotte","Neil Patel","Roaring SetUp"
"Roaring Moon","Booster Energy","Protosynthesis","Flying","Knock Off","Dragon Dance","Acrobatics","Protect","regional-charlotte","Neil Patel","Roaring SetUp"
"Incineroar","Figy Berry","Intimidate","Grass","Fake Out","Parting Shot","Knock Off","Flare Blitz","regional-charlotte","Neil Patel","Roaring SetUp"
"Flutter Mane","Choice Specs","Protosynthesis","Fairy","Moonblast","Dazzling Gleam","Shadow Ball","Icy Wind","regional-charlotte","Neil Patel","Roaring SetUp"
"Raging Bolt","Booster Energy","Protosynthesis","Grass","Thunderclap","Dragon Pulse","Calm Mind","Protect","regional-charlotte","Paul Chua","Roaring SetUp"
"Chien-Pao","Focus Sash","Sword of Ruin","Ghost","Icicle Crash","Sucker Punch","Sacred Sword","Protect","regional-charlotte","Paul Chua","Roaring SetUp"
"Incineroar","Assault Vest","Intimidate","Fairy","Fake Out","Knock Off","Flare Blitz","U-turn","regional-charlotte","Paul Chua","Roaring SetUp"
"Amoonguss","Sitrus Berry","Regenerator","Water","Spore","Rage Powder","Pollen Puff","Protect","regional-charlotte","Paul Chua","Roaring SetUp"
"Flutter Mane","Choice Specs","Protosynthesis","Fairy","Moonblast","Shadow Ball","Dazzling Gleam","Perish Song","regional-charlotte","Paul Chua","Roaring SetUp"
"Ogerpon-Wellspring","Wellspring Mask","Water Absorb","Water","Ivy Cudgel","Follow Me","Horn Leech","Spiky Shield","regional-charlotte","Paul Chua","Roaring SetUp"
"Iron Hands","Assault Vest","Quark Drive","Water","Wild Charge","Drain Punch","Heavy Slam","Fake Out","regional-liverpool","Simon Schlütter","Roaring SetUp"
"Amoonguss","Rocky Helmet","Regenerator","Water","Pollen Puff","Spore","Rage Powder","Protect","regional-liverpool","Simon Schlütter","Roaring SetUp"
"Roaring Moon","Booster Energy","Protosynthesis","Flying","Acrobatics","Knock Off","Dragon Dance","Protect","regional-liverpool","Simon Schlütter","Roaring SetUp"
