Pokemon_1,Objeto_1,Habilidad_1,Teratipo_1,Mov1_1,Mov2_1,Mov3_1,Mov4_1,Pokemon_2,Objeto_2,Habilidad_2,Teratipo_2,Mov1_2,Mov2_2,Mov3_2,Mov4_2,Pokemon_3,Objeto_3,Habilidad_3,Teratipo_3,Mov1_3,Mov2_3,Mov3_3,Mov4_3,Pokemon_4,Objeto_4,Habilidad_4,Teratipo_4,Mov1_4,Mov2_4,Mov3_4,Mov4_4,Pokemon_5,Objeto_5,Habilidad_5,Teratipo_5,Mov1_5,Mov2_5,Mov3_5,Mov4_5,Pokemon_6,Objeto_6,Habilidad_6,Teratipo_6,Mov1_6,Mov2_6,Mov3_6,Mov4_6
Chi-Yu,Choice Specs,Beads of Ruin,Ghost,Heat Wave,Dark Pulse,Snarl,Overheat,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Follow Me,Spiky Shield,Horn Leech,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Detect,Sucker Punch,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Dazzling Gleam,Protect,Moonblast,Icy Wind,Glimmora,Power Herb,Toxic Debris,Grass,Meteor Beam,Earth Power,Spiky Shield,Sludge Bomb,Tornadus,Rocky Helmet,Prankster,Steel,Bleakwind Storm,Tailwind,Protect,Sunny Day
Farigiraf,Sitrus Berry,Armor Tail,Fire,Trick Room,Dazzling Gleam,Psychic,Helping Hand,Tornadus,Rocky Helmet,Prankster,Steel,Tailwind,Bleakwind Storm,Protect,Taunt,Urshifu,Focus Sash,Unseen Fist,Stellar,Wicked Blow,Sucker Punch,Close Combat,Protect,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Ivy Cudgel,Spiky Shield,Wood Hammer,Stomping Tantrum,Iron Hands,Clear Amulet,Quark Drive,Fire,Fake Out,Close Combat,Heavy Slam,Wild Charge,Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Blood Moon,Earth Power,Hyper Voice,Protect
Tornadus,Rocky Helmet,Prankster,Steel,Bleakwind Storm,Tailwind,Rain Dance,Protect,Incineroar,Sitrus Berry,Intimidate,Grass,Flare Blitz,Knock Off,Fake Out,Parting Shot,Raging Bolt,Assault Vest,Protosynthesis,Fairy,Draco Meteor,Thunderbolt,Thunderclap,Snarl,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Detect,Gholdengo,Metal Coat,Good as Gold,Fairy,Make It Rain,Shadow Ball,Nasty Plot,Protect,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield
Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Detect,Sucker Punch,Raging Bolt,Assault Vest,Protosynthesis,Fairy,Electroweb,Draco Meteor,Thunderclap,Snarl,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Gholdengo,Leftovers,Good as Gold,Fairy,Make It Rain,Shadow Ball,Nasty Plot,Protect,Incineroar,Sitrus Berry,Intimidate,Ghost,Knock Off,Flare Blitz,Parting Shot,Fake Out,Tornadus,Rocky Helmet,Prankster,Steel,Bleakwind Storm,Tailwind,Rain Dance,Protect
Iron Hands,Clear Amulet,Quark Drive,Grass,Wild Charge,Close Combat,Heavy Slam,Fake Out,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Ivy Cudgel,Wood Hammer,Follow Me,Spiky Shield,Tornadus,Rocky Helmet,Prankster,Steel,Bleakwind Storm,Taunt,Tailwind,Protect,Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Hyper Voice,Earth Power,Blood Moon,Protect,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Detect,Farigiraf,Sitrus Berry,Armor Tail,Fire,Psychic,Dazzling Gleam,Helping Hand,Trick Room
Gholdengo,Leftovers,Good as Gold,Fairy,Make It Rain,Shadow Ball,Protect,Nasty Plot,Amoonguss,Rocky Helmet,Regenerator,Fairy,Pollen Puff,Spore,Protect,Rage Powder,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Horn Leech,Spiky Shield,Ivy Cudgel,Swords Dance,Iron Hands,Assault Vest,Quark Drive,Grass,Drain Punch,Fake Out,Heavy Slam,Wild Charge,Porygon2,Eviolite,Download,Poison,Tera Blast,Trick Room,Recover,Ice Beam,Incineroar,Sitrus Berry,Intimidate,Grass,Fake Out,Parting Shot,Knock Off,Flare Blitz
Farigiraf,Sitrus Berry,Armor Tail,Fire,Psychic,Dazzling Gleam,Helping Hand,Trick Room,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Ivy Cudgel,Wood Hammer,Follow Me,Spiky Shield,Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Blood Moon,Earth Power,Hyper Voice,Protect,Tornadus,Covert Cloak,Prankster,Steel,Bleakwind Storm,Tailwind,Icy Wind,Protect,Iron Hands,Clear Amulet,Quark Drive,Fire,Close Combat,Wild Charge,Heavy Slam,Fake Out,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Sucker Punch,Close Combat,Detect
Flutter Mane,Booster Energy,Protosynthesis,Fairy,Dazzling Gleam,Moonblast,Protect,Icy Wind,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Follow Me,Spiky Shield,Horn Leech,Ivy Cudgel,Glimmora,Power Herb,Toxic Debris,Grass,Meteor Beam,Sludge Bomb,Earth Power,Spiky Shield,Chi-Yu,Choice Specs,Beads of Ruin,Fire,Heat Wave,Dark Pulse,Snarl,Overheat,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Detect,Tornadus,Rocky Helmet,Prankster,Steel,Bleakwind Storm,Sunny Day,Protect,Tailwind
Venusaur,Life Orb,Chlorophyll,Fire,Protect,Giga Drain,Sludge Bomb,Weather Ball,Flutter Mane,Focus Sash,Protosynthesis,Stellar,Protect,Shadow Ball,Dazzling Gleam,Icy Wind,Torkoal,Charcoal,Drought,Fire,Protect,Eruption,Heat Wave,Earth Power,Iron Hands,Assault Vest,Quark Drive,Grass,Drain Punch,Wild Charge,Heavy Slam,Fake Out,Farigiraf,Throat Spray,Armor Tail,Fairy,Psychic,Hyper Voice,Trick Room,Helping Hand,Walking Wake,Choice Specs,Protosynthesis,Steel,Hydro Steam,Draco Meteor,Tera Blast,Flamethrower
Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Raging Bolt,Assault Vest,Protosynthesis,Fairy,Draco Meteor,Thunderclap,Electroweb,Snarl,Tornadus,Rocky Helmet,Prankster,Steel,Bleakwind Storm,Tailwind,Rain Dance,Protect,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Sucker Punch,Close Combat,Detect,Gholdengo,Leftovers,Good as Gold,Fairy,Make It Rain,Shadow Ball,Nasty Plot,Protect,Incineroar,Sitrus Berry,Intimidate,Ghost,Flare Blitz,Knock Off,Fake Out,Parting Shot
Armarouge,Power Herb,Weak Armor,Stellar,Endure,Meteor Beam,Armor Cannon,Expanding Force,Tornadus,Focus Sash,Prankster,Steel,Tailwind,Protect,Icy Wind,Bleakwind Storm,Indeedee-F,Rocky Helmet,Psychic Surge,Fairy,Dazzling Gleam,Trick Room,Follow Me,Helping Hand,Ursaluna,Flame Orb,Guts,Fairy,Earthquake,Facade,Protect,Headlong Rush,Roaring Moon,Booster Energy,Protosynthesis,Flying,Dragon Dance,Knock Off,Acrobatics,Protect,Urshifu-Rapid-Strike,Choice Band,Unseen Fist,Poison,Surging Strikes,Close Combat,U-turn,Poison Jab
Raging Bolt,Assault Vest,Protosynthesis,Fairy,Electroweb,Dragon Pulse,Snarl,Thunderclap,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Taunt,Protect,Moonblast,Icy Wind,Arcanine-Hisui,Choice Band,Intimidate,Fairy,Extreme Speed,Flare Blitz,Head Smash,Rock Slide,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Landorus,Life Orb,Sheer Force,Steel,Earth Power,Sludge Bomb,Substitute,Protect,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Sucker Punch,Close Combat,Protect
Heatran,Life Orb,Flash Fire,Fairy,Protect,Heat Wave,Flash Cannon,Earth Power,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Protect,Moonblast,Icy Wind,Taunt,Farigiraf,Sitrus Berry,Armor Tail,Fairy,Psychic,Trick Room,Dazzling Gleam,Helping Hand,Iron Hands,Clear Amulet,Quark Drive,Grass,Close Combat,Wild Charge,Fake Out,Heavy Slam,Urshifu,Focus Sash,Unseen Fist,Dark,Detect,Wicked Blow,Close Combat,Sucker Punch,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Spiky Shield,Ivy Cudgel,Horn Leech,Follow Me
Amoonguss,Rocky Helmet,Regenerator,Fairy,Rage Powder,Protect,Spore,Pollen Puff,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Perish Song,Chien-Pao,Focus Sash,Sword of Ruin,Stellar,Icicle Crash,Sacred Sword,Sucker Punch,Protect,Kingambit,Dread Plate,Defiant,Dragon,Sucker Punch,Kowtow Cleave,Iron Head,Protect,Gouging Fire,Booster Energy,Protosynthesis,Grass,Howl,Burning Bulwark,Heat Crash,Breaking Swipe,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Spiky Shield,Follow Me
Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Sucker Punch,Close Combat,Protect,Raging Bolt,Assault Vest,Protosynthesis,Fairy,Electroweb,Thunderclap,Dragon Pulse,Snarl,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Protect,Amoonguss,Rocky Helmet,Regenerator,Fairy,Protect,Spore,Rage Powder,Pollen Puff,Incineroar,Safety Goggles,Intimidate,Fire,Flare Blitz,Taunt,Parting Shot,Fake Out,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Spiky Shield,Follow Me
Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Follow Me,Spiky Shield,Horn Leech,Iron Moth,Booster Energy,Quark Drive,Water,Protect,Heat Wave,Tera Blast,Dazzling Gleam,Rillaboom,Assault Vest,Grassy Surge,Fire,Grassy Glide,U-turn,Fake Out,Wood Hammer,Sylveon,Leftovers,Pixilate,Fire,Protect,Calm Mind,Tera Blast,Hyper Voice,Incineroar,Safety Goggles,Intimidate,Dragon,Flare Blitz,Fake Out,Parting Shot,Knock Off,Farigiraf,Rocky Helmet,Armor Tail,Fairy,Protect,Psychic,Hyper Voice,Trick Room
Amoonguss,Rocky Helmet,Regenerator,Water,Protect,Spore,Rage Powder,Pollen Puff,Incineroar,Safety Goggles,Intimidate,Ghost,Fake Out,Parting Shot,Knock Off,Flare Blitz,Gholdengo,Choice Specs,Good as Gold,Fairy,Shadow Ball,Make It Rain,Trick,Nasty Plot,Ting-Lu,Assault Vest,Vessel of Ruin,Fairy,Throat Chop,Stomping Tantrum,Tera Blast,Heavy Slam,Kommo-o,Leftovers,Overcoat,Steel,Protect,Iron Defense,Body Press,Iron Head,Porygon2,Eviolite,Download,Poison,Recover,Ice Beam,Tera Blast,Trick Room
Amoonguss,Rocky Helmet,Regenerator,Steel,Spore,Rage Powder,Pollen Puff,Protect,Archaludon,Assault Vest,Stamina,Fairy,Body Press,Electro Shot,Heavy Slam,Dragon Pulse,Pelipper,Focus Sash,Drizzle,Stellar,Tailwind,Hurricane,Wide Guard,Weather Ball,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Grass,Surging Strikes,Aqua Jet,Close Combat,U-turn,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Icy Wind,Protect,Landorus,Life Orb,Sheer Force,Steel,Protect,Earth Power,Sludge Bomb,Sandsear Storm
Raging Bolt,Assault Vest,Protosynthesis,Fairy,Thunderclap,Electroweb,Snarl,Dragon Pulse,Landorus,Life Orb,Sheer Force,Steel,Substitute,Earth Power,Sludge Bomb,Protect,Chi-Yu,Choice Specs,Beads of Ruin,Ghost,Heat Wave,Dark Pulse,Overheat,Snarl,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Protect,Moonblast,Dazzling Gleam,Icy Wind,Urshifu,Focus Sash,Unseen Fist,Dark,Sucker Punch,Detect,Wicked Blow,Close Combat
Tornadus,Rocky Helmet,Prankster,Steel,Bleakwind Storm,Taunt,Tailwind,Protect,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Protect,Farigiraf,Sitrus Berry,Armor Tail,Fire,Psychic,Dazzling Gleam,Helping Hand,Trick Room,Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Blood Moon,Hyper Voice,Earth Power,Protect,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Ivy Cudgel,Wood Hammer,Follow Me,Spiky Shield,Iron Hands,Clear Amulet,Quark Drive,Grass,Close Combat,Wild Charge,Heavy Slam,Fake Out
Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Gholdengo,Leftovers,Good as Gold,Fairy,Make It Rain,Shadow Ball,Nasty Plot,Protect,Tornadus,Rocky Helmet,Prankster,Steel,Bleakwind Storm,Tailwind,Rain Dance,Protect,Incineroar,Sitrus Berry,Intimidate,Ghost,Fake Out,Parting Shot,Flare Blitz,Knock Off,Raging Bolt,Assault Vest,Protosynthesis,Fairy,Electroweb,Snarl,Draco Meteor,Thunderclap,Urshifu,Focus Sash,Unseen Fist,Dark,Close Combat,Wicked Blow,Sucker Punch,Protect
Grimmsnarl,Light Clay,Prankster,Steel,Spirit Break,Thunder Wave,Reflect,Light Screen,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Swords Dance,Spiky Shield,Okidogi,Assault Vest,Guard Dog,Water,Gunk Shot,Drain Punch,High Horsepower,Upper Hand,Roaring Moon,Booster Energy,Protosynthesis,Flying,Knock Off,Acrobatics,Tailwind,Protect,Gholdengo,Sitrus Berry,Good as Gold,Dragon,Make It Rain,Shadow Ball,Nasty Plot,Protect,Entei,Choice Band,Inner Focus,Fairy,Sacred Fire,Extreme Speed,Stone Edge,Flare Blitz
Tornadus,Rocky Helmet,Prankster,Ghost,Protect,Bleakwind Storm,Tailwind,Scary Face,Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Protect,Hyper Voice,Blood Moon,Earth Power,Rillaboom,Assault Vest,Grassy Surge,Poison,Fake Out,Grassy Glide,Wood Hammer,U-turn,Urshifu,Focus Sash,Unseen Fist,Dark,Protect,Wicked Blow,Sucker Punch,Close Combat,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Spiky Shield,Swords Dance,Grassy Glide,Ivy Cudgel,Farigiraf,Sitrus Berry,Armor Tail,Fairy,Helping Hand,Trick Room,Psychic,Dazzling Gleam
Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Ivy Cudgel,Wood Hammer,Follow Me,Spiky Shield,Indeedee-F,Rocky Helmet,Psychic Surge,Fairy,Dazzling Gleam,Follow Me,Helping Hand,Trick Room,Regidrago,Dragon Fang,Dragon's Maw,Steel,Dragon Energy,Draco Meteor,Tera Blast,Protect,Iron Crown,Booster Energy,Quark Drive,Water,Expanding Force,Tachyon Cutter,Tera Blast,Protect,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Water,Surging Strikes,Close Combat,Aqua Jet,U-turn,Tornadus,Focus Sash,Prankster,Steel,Bleakwind Storm,Tailwind,Rain Dance,Protect
Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Kingambit,Black Glasses,Defiant,Dragon,Kowtow Cleave,Sucker Punch,Iron Head,Protect,Gouging Fire,Booster Energy,Protosynthesis,Fairy,Burning Bulwark,Breaking Swipe,Heat Crash,Howl,Amoonguss,Sitrus Berry,Regenerator,Fairy,Spore,Rage Powder,Pollen Puff,Clear Smog,Dragonite,Assault Vest,Inner Focus,Normal,Extreme Speed,Aerial Ace,Stomping Tantrum,Thunder Punch,Chien-Pao,Focus Sash,Sword of Ruin,Ghost,Ice Spinner,Sucker Punch,Sacred Sword,Protect
Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Detect,Rillaboom,Miracle Seed,Grassy Surge,Grass,Wood Hammer,Grassy Glide,Taunt,Fake Out,Raging Bolt,Assault Vest,Protosynthesis,Fairy,Thunderbolt,Snarl,Dragon Pulse,Thunderclap,Incineroar,Sitrus Berry,Intimidate,Grass,Flare Blitz,Knock Off,Parting Shot,Fake Out,Cresselia,Safety Goggles,Levitate,Poison,Ice Beam,Lunar Blessing,Skill Swap,Trick Room,Registeel,Leftovers,Clear Body,Water,Heavy Slam,Body Press,Iron Defense,Protect
Rillaboom,Miracle Seed,Grassy Surge,Grass,Fake Out,Wood Hammer,Grassy Glide,High Horsepower,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Shadow Ball,Dazzling Gleam,Perish Song,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Gouging Fire,Booster Energy,Protosynthesis,Fairy,Breaking Swipe,Heat Crash,Howl,Burning Bulwark,Kingambit,Assault Vest,Defiant,Dragon,Kowtow Cleave,Sucker Punch,Iron Head,Low Kick,Chien-Pao,Focus Sash,Sword of Ruin,Stellar,Icicle Crash,Sucker Punch,Sacred Sword,Protect
Armarouge,Life Orb,Flash Fire,Psychic,Expanding Force,Heat Wave,Trick Room,Protect,Ogerpon-Cornerstone,Cornerstone Mask,Sturdy,Rock,Wood Hammer,Ivy Cudgel,Follow Me,Spiky Shield,Indeedee-F,Rocky Helmet,Psychic Surge,Fairy,Dazzling Gleam,Helping Hand,Follow Me,Trick Room,Kingambit,Dread Plate,Defiant,Dragon,Kowtow Cleave,Sucker Punch,Low Kick,Swords Dance,Gallade,Clear Amulet,Sharpness,Grass,Sacred Sword,Psycho Cut,Trick Room,Wide Guard,Torkoal,Choice Specs,Drought,Fire,Eruption,Weather Ball,Heat Wave,Earth Power
Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Icy Wind,Taunt,Protect,Raging Bolt,Assault Vest,Protosynthesis,Fairy,Electroweb,Thunderclap,Snarl,Draco Meteor,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Arcanine-Hisui,Choice Band,Intimidate,Fairy,Rock Slide,Head Smash,Flare Blitz,Extreme Speed,Landorus,Life Orb,Sheer Force,Poison,Earth Power,Sludge Bomb,Substitute,Protect,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Sucker Punch,Close Combat,Detect
Rillaboom,Assault Vest,Grassy Surge,Fire,Wood Hammer,Fake Out,Grassy Glide,High Horsepower,Landorus,Life Orb,Sheer Force,Steel,Earth Power,Sludge Bomb,Calm Mind,Protect,Regieleki,Choice Specs,Transistor,Ice,Thunderbolt,Volt Switch,Electroweb,Tera Blast,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Ivy Cudgel,Grassy Glide,Follow Me,Spiky Shield,Farigiraf,Throat Spray,Armor Tail,Fairy,Psychic,Hyper Voice,Trick Room,Protect,Araquanid,Clear Amulet,Water Bubble,Water,Liquidation,Leech Life,Wide Guard,Protect
Flutter Mane,Choice Specs,Protosynthesis,Fairy,Dazzling Gleam,Shadow Ball,Moonblast,Icy Wind,Incineroar,Sitrus Berry,Intimidate,Fairy,Knock Off,Flare Blitz,Parting Shot,Fake Out,Raging Bolt,Assault Vest,Protosynthesis,Fairy,Thunderclap,Draco Meteor,Electroweb,Snarl,Volcarona,Leftovers,Flame Body,Dragon,Heat Wave,Giga Drain,Quiver Dance,Protect,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Landorus,Choice Scarf,Sheer Force,Ghost,Earth Power,Sludge Bomb,Sandsear Storm,U-turn
Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Raging Bolt,Assault Vest,Protosynthesis,Electric,Thunderbolt,Snarl,Thunderclap,Draco Meteor,Amoonguss,Sitrus Berry,Regenerator,Fairy,Spore,Rage Powder,Protect,Pollen Puff,Roaring Moon,Booster Energy,Protosynthesis,Flying,Knock Off,Acrobatics,Protect,Dragon Dance,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Dazzling Gleam,Shadow Ball,Moonblast,Perish Song,Incineroar,Safety Goggles,Intimidate,Ghost,Parting Shot,Flare Blitz,Fake Out,Will-O-Wisp
Urshifu-Rapid-Strike,Choice Band,Unseen Fist,Poison,Surging Strikes,Close Combat,Poison Jab,U-turn,Ursaluna,Flame Orb,Guts,Fairy,Earthquake,Facade,Headlong Rush,Protect,Tornadus,Focus Sash,Prankster,Steel,Bleakwind Storm,Icy Wind,Tailwind,Protect,Amoonguss,Sitrus Berry,Regenerator,Water,Spore,Sludge Bomb,Rage Powder,Protect,Roaring Moon,Booster Energy,Protosynthesis,Flying,Acrobatics,Knock Off,Dragon Dance,Protect,Indeedee-F,Rocky Helmet,Psychic Surge,Fairy,Dazzling Gleam,Follow Me,Trick Room,Helping Hand
Gouging Fire,Booster Energy,Protosynthesis,Fairy,Burning Bulwark,Howl,Breaking Swipe,Heat Crash,Landorus,Life Orb,Sheer Force,Poison,Earth Power,Sludge Bomb,Substitute,Protect,Flutter Mane,Focus Sash,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Protect,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Spiky Shield,Ivy Cudgel,Horn Leech,Follow Me,Kingambit,Black Glasses,Defiant,Dragon,Kowtow Cleave,Sucker Punch,Swords Dance,Protect,Rillaboom,Assault Vest,Grassy Surge,Fire,Wood Hammer,Grassy Glide,High Horsepower,Fake Out
Kingambit,Black Glasses,Defiant,Dragon,Kowtow Cleave,Sucker Punch,Swords Dance,Protect,Rillaboom,Miracle Seed,Grassy Surge,Ghost,Grassy Glide,Wood Hammer,Taunt,Fake Out,Landorus,Life Orb,Sheer Force,Poison,Earth Power,Sludge Bomb,Substitute,Protect,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Spiky Shield,Follow Me,Gouging Fire,Booster Energy,Protosynthesis,Fairy,Heat Crash,Breaking Swipe,Howl,Burning Bulwark,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Dazzling Gleam,Moonblast,Shadow Ball,Icy Wind
Ting-Lu,Assault Vest,Vessel of Ruin,Poison,Stomping Tantrum,Snarl,Ruination,Heavy Slam,Kommo-o,Leftovers,Overcoat,Steel,Body Press,Iron Head,Iron Defense,Protect,Amoonguss,Sitrus Berry,Regenerator,Water,Pollen Puff,Spore,Rage Powder,Clear Smog,Porygon2,Eviolite,Download,Poison,Tera Blast,Ice Beam,Recover,Trick Room,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Perish Song,Incineroar,Safety Goggles,Intimidate,Ghost,Flare Blitz,Knock Off,Parting Shot,Fake Out
Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Wood Hammer,Follow Me,Spiky Shield,Landorus,Life Orb,Sheer Force,Poison,Earth Power,Sludge Bomb,Substitute,Protect,Gholdengo,Leftovers,Good as Gold,Fairy,Make It Rain,Shadow Ball,Nasty Plot,Protect,Iron Bundle,Booster Energy,Quark Drive,Ghost,Icy Wind,Freeze-Dry,Encore,Protect,Incineroar,Sitrus Berry,Intimidate,Grass,Fake Out,Flare Blitz,Knock Off,Parting Shot,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Sucker Punch,Close Combat,Detect
Incineroar,Sitrus Berry,Intimidate,Grass,Flare Blitz,Knock Off,Parting Shot,Fake Out,Cresselia,Safety Goggles,Levitate,Fairy,Moonblast,Trick Room,Lunar Blessing,Skill Swap,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Ivy Cudgel,Wood Hammer,Taunt,Spiky Shield,Registeel,Leftovers,Clear Body,Water,Body Press,Heavy Slam,Protect,Iron Defense,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Detect,Close Combat,Sucker Punch,Raging Bolt,Assault Vest,Protosynthesis,Fairy,Thunderclap,Snarl,Dragon Pulse,Thunderbolt
Raging Bolt,Assault Vest,Protosynthesis,Fairy,Thunderbolt,Draco Meteor,Thunderclap,Snarl,Incineroar,Sitrus Berry,Intimidate,Grass,Flare Blitz,Knock Off,Fake Out,Parting Shot,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Spiky Shield,Ivy Cudgel,Horn Leech,Follow Me,Tornadus,Rocky Helmet,Prankster,Steel,Protect,Bleakwind Storm,Rain Dance,Tailwind,Gholdengo,Leftovers,Good as Gold,Fairy,Protect,Make It Rain,Shadow Ball,Nasty Plot,Urshifu,Focus Sash,Unseen Fist,Dark,Detect,Wicked Blow,Close Combat,Sucker Punch
Flutter Mane,Booster Energy,Protosynthesis,Grass,Moonblast,Calm Mind,Shadow Ball,Protect,Farigiraf,Throat Spray,Armor Tail,Fairy,Hyper Voice,Psychic,Protect,Trick Room,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Water,Close Combat,U-turn,Surging Strikes,Aqua Jet,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Spiky Shield,Ivy Cudgel,Swords Dance,Grassy Glide,Rillaboom,Assault Vest,Grassy Surge,Fire,Wood Hammer,Grassy Glide,U-turn,Fake Out,Incineroar,Sitrus Berry,Intimidate,Grass,Fake Out,Parting Shot,Flare Blitz,Knock Off
Tornadus,Rocky Helmet,Prankster,Ghost,Tailwind,Bleakwind Storm,Taunt,Protect,Farigiraf,Sitrus Berry,Armor Tail,Fire,Helping Hand,Psychic,Trick Room,Dazzling Gleam,Urshifu,Focus Sash,Unseen Fist,Stellar,Wicked Blow,Sucker Punch,Close Combat,Protect,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Ivy Cudgel,Wood Hammer,Spiky Shield,Stomping Tantrum,Iron Hands,Clear Amulet,Quark Drive,Fire,Heavy Slam,Close Combat,Fake Out,Wild Charge,Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Blood Moon,Earth Power,Protect,Hyper Voice
